model,cycles
UF_4-l1i_64kB-l1d_8kB-l2_512kB,59575138
UF_4-l1i_64kB-l1d_8kB-l2_1024kB,59584647
UF_4-l1i_64kB-l1d_16kB-l2_128kB,42634322
UF_4-l1i_64kB-l1d_16kB-l2_256kB,42695871
UF_4-l1i_64kB-l1d_16kB-l2_512kB,42670223
UF_4-l1i_64kB-l1d_16kB-l2_1024kB,42691772
UF_4-l1i_64kB-l1d_32kB-l2_128kB,42306320
UF_4-l1i_64kB-l1d_32kB-l2_256kB,42289758
UF_4-l1i_64kB-l1d_32kB-l2_512kB,42290197
UF_4-l1i_64kB-l1d_32kB-l2_1024kB,42296124
UF_4-l1i_64kB-l1d_64kB-l2_128kB,42498411
UF_4-l1i_64kB-l1d_64kB-l2_256kB,42286457
UF_4-l1i_64kB-l1d_64kB-l2_512kB,42275147
UF_4-l1i_64kB-l1d_64kB-l2_1024kB,42289758
UF_8-l1i_2kB-l1d_2kB-l2_128kB,59723273
UF_8-l1i_2kB-l1d_2kB-l2_256kB,59709834
UF_8-l1i_2kB-l1d_2kB-l2_512kB,59687801
UF_8-l1i_2kB-l1d_2kB-l2_1024kB,59717708
UF_8-l1i_2kB-l1d_4kB-l2_128kB,59628161
UF_8-l1i_2kB-l1d_4kB-l2_256kB,59603232
UF_8-l1i_2kB-l1d_4kB-l2_512kB,59582906
UF_8-l1i_2kB-l1d_4kB-l2_1024kB,59581444
UF_8-l1i_2kB-l1d_8kB-l2_128kB,59528720
UF_8-l1i_2kB-l1d_8kB-l2_256kB,59516049
UF_8-l1i_2kB-l1d_8kB-l2_512kB,59485574
UF_8-l1i_2kB-l1d_8kB-l2_1024kB,59518463
UF_8-l1i_2kB-l1d_16kB-l2_128kB,42538803
UF_8-l1i_2kB-l1d_16kB-l2_256kB,42579966
UF_8-l1i_2kB-l1d_16kB-l2_512kB,42563976
UF_8-l1i_2kB-l1d_16kB-l2_1024kB,42570085
UF_8-l1i_2kB-l1d_32kB-l2_128kB,42251285
UF_8-l1i_2kB-l1d_32kB-l2_256kB,42235685
UF_8-l1i_2kB-l1d_32kB-l2_512kB,42214720
UF_8-l1i_2kB-l1d_32kB-l2_1024kB,42227248
UF_8-l1i_2kB-l1d_64kB-l2_128kB,42406659
UF_8-l1i_2kB-l1d_64kB-l2_256kB,42283964
UF_8-l1i_2kB-l1d_64kB-l2_512kB,42213595
UF_8-l1i_2kB-l1d_64kB-l2_1024kB,42222698
UF_8-l1i_4kB-l1d_2kB-l2_128kB,59692020
UF_8-l1i_4kB-l1d_2kB-l2_256kB,59659871
UF_8-l1i_4kB-l1d_2kB-l2_512kB,59655325
UF_8-l1i_4kB-l1d_2kB-l2_1024kB,59670990
UF_8-l1i_4kB-l1d_4kB-l2_128kB,59581444
UF_8-l1i_4kB-l1d_4kB-l2_256kB,59548780
UF_8-l1i_4kB-l1d_4kB-l2_512kB,59535848
UF_8-l1i_4kB-l1d_4kB-l2_1024kB,59538331
UF_8-l1i_4kB-l1d_8kB-l2_128kB,59475609
UF_8-l1i_4kB-l1d_8kB-l2_256kB,59469499
UF_8-l1i_4kB-l1d_8kB-l2_512kB,59437722
UF_8-l1i_4kB-l1d_8kB-l2_1024kB,59466430
UF_8-l1i_4kB-l1d_16kB-l2_128kB,42491981
UF_8-l1i_4kB-l1d_16kB-l2_256kB,42531020
UF_8-l1i_4kB-l1d_16kB-l2_512kB,42462992
UF_8-l1i_4kB-l1d_16kB-l2_1024kB,42529240
UF_8-l1i_4kB-l1d_32kB-l2_128kB,42205716
UF_8-l1i_4kB-l1d_32kB-l2_256kB,42229351
UF_8-l1i_4kB-l1d_32kB-l2_512kB,42165588
UF_8-l1i_4kB-l1d_32kB-l2_1024kB,42181300
UF_8-l1i_4kB-l1d_64kB-l2_128kB,42356241
UF_8-l1i_4kB-l1d_64kB-l2_256kB,42186270
UF_8-l1i_4kB-l1d_64kB-l2_512kB,42209316
UF_8-l1i_4kB-l1d_64kB-l2_1024kB,42176360
UF_8-l1i_8kB-l1d_2kB-l2_128kB,59682892
UF_8-l1i_8kB-l1d_2kB-l2_256kB,59654943
UF_8-l1i_8kB-l1d_2kB-l2_512kB,59640797
UF_8-l1i_8kB-l1d_2kB-l2_1024kB,59663016
UF_8-l1i_8kB-l1d_4kB-l2_128kB,59559409
UF_8-l1i_8kB-l1d_4kB-l2_256kB,59548510
UF_8-l1i_8kB-l1d_4kB-l2_512kB,59531487
UF_8-l1i_8kB-l1d_4kB-l2_1024kB,59536409
UF_8-l1i_8kB-l1d_8kB-l2_128kB,59473897
UF_8-l1i_8kB-l1d_8kB-l2_256kB,59458325
UF_8-l1i_8kB-l1d_8kB-l2_512kB,59443561
UF_8-l1i_8kB-l1d_8kB-l2_1024kB,59456864
UF_8-l1i_8kB-l1d_16kB-l2_128kB,42483961
UF_8-l1i_8kB-l1d_16kB-l2_256kB,42528454
UF_8-l1i_8kB-l1d_16kB-l2_512kB,42509173
UF_8-l1i_8kB-l1d_16kB-l2_1024kB,42518998
UF_8-l1i_8kB-l1d_32kB-l2_128kB,42194197
UF_8-l1i_8kB-l1d_32kB-l2_256kB,42221481
UF_8-l1i_8kB-l1d_32kB-l2_512kB,42164357
UF_8-l1i_8kB-l1d_32kB-l2_1024kB,42191543
UF_8-l1i_8kB-l1d_64kB-l2_128kB,42352458
UF_8-l1i_8kB-l1d_64kB-l2_256kB,42183676
UF_8-l1i_8kB-l1d_64kB-l2_512kB,42162506
UF_8-l1i_8kB-l1d_64kB-l2_1024kB,42167847
UF_8-l1i_16kB-l1d_2kB-l2_128kB,59654226
UF_8-l1i_16kB-l1d_2kB-l2_256kB,59639340
UF_8-l1i_16kB-l1d_2kB-l2_512kB,59625204
UF_8-l1i_16kB-l1d_2kB-l2_1024kB,59655236
UF_8-l1i_16kB-l1d_4kB-l2_128kB,59553187
UF_8-l1i_16kB-l1d_4kB-l2_256kB,59541473
UF_8-l1i_16kB-l1d_4kB-l2_512kB,59512384
UF_8-l1i_16kB-l1d_4kB-l2_1024kB,59511228
UF_8-l1i_16kB-l1d_8kB-l2_128kB,59461158
UF_8-l1i_16kB-l1d_8kB-l2_256kB,59449832
UF_8-l1i_16kB-l1d_8kB-l2_512kB,59414988
UF_8-l1i_16kB-l1d_8kB-l2_1024kB,59447599
UF_8-l1i_16kB-l1d_16kB-l2_128kB,42524973
UF_8-l1i_16kB-l1d_16kB-l2_256kB,42512748
UF_8-l1i_16kB-l1d_16kB-l2_512kB,42491644
UF_8-l1i_16kB-l1d_16kB-l2_1024kB,42468503
UF_8-l1i_16kB-l1d_32kB-l2_128kB,42232314
UF_8-l1i_16kB-l1d_32kB-l2_256kB,42166567
UF_8-l1i_16kB-l1d_32kB-l2_512kB,42144170
UF_8-l1i_16kB-l1d_32kB-l2_1024kB,42165178
UF_8-l1i_16kB-l1d_64kB-l2_128kB,42337086
UF_8-l1i_16kB-l1d_64kB-l2_256kB,42205737
UF_8-l1i_16kB-l1d_64kB-l2_512kB,42140931
UF_8-l1i_16kB-l1d_64kB-l2_1024kB,42155816
UF_8-l1i_32kB-l1d_2kB-l2_128kB,59661475
UF_8-l1i_32kB-l1d_2kB-l2_256kB,59651228
UF_8-l1i_32kB-l1d_2kB-l2_512kB,59624067
UF_8-l1i_32kB-l1d_2kB-l2_1024kB,59652738
UF_8-l1i_32kB-l1d_4kB-l2_128kB,59548913
UF_8-l1i_32kB-l1d_4kB-l2_256kB,59531903
UF_8-l1i_32kB-l1d_4kB-l2_512kB,59511051
UF_8-l1i_32kB-l1d_4kB-l2_1024kB,59505712
UF_8-l1i_32kB-l1d_8kB-l2_128kB,59458898
UF_8-l1i_32kB-l1d_8kB-l2_256kB,59437048
UF_8-l1i_32kB-l1d_8kB-l2_512kB,59424713
UF_8-l1i_32kB-l1d_8kB-l2_1024kB,59441776
UF_8-l1i_32kB-l1d_16kB-l2_128kB,42517881
UF_8-l1i_32kB-l1d_16kB-l2_256kB,42451988
UF_8-l1i_32kB-l1d_16kB-l2_512kB,42438896
UF_8-l1i_32kB-l1d_16kB-l2_1024kB,42502616
UF_8-l1i_32kB-l1d_32kB-l2_128kB,42183674
UF_8-l1i_32kB-l1d_32kB-l2_256kB,42163286
UF_8-l1i_32kB-l1d_32kB-l2_512kB,42139928
UF_8-l1i_32kB-l1d_32kB-l2_1024kB,42153410
